start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
1645.1455,1645.1528,46953.0,61121.0,Echolocation,Pipistrellus pipistrellus,0.495,0.515,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1645.2435,1645.2505,47812.0,62663.0,Echolocation,Pipistrellus pipistrellus,0.619,0.671,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1645.3415,1645.3508,46953.0,60451.0,Echolocation,Pipistrellus pipistrellus,0.495,0.592,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1645.5835,1645.5903,47812.0,63440.0,Echolocation,Pipistrellus pipistrellus,0.515,0.572,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1645.8025,1645.8085,47812.0,61675.0,Echolocation,Pipistrellus pipistrellus,0.566,0.588,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1645.8865,1645.8942,47812.0,66543.0,Echolocation,Pipistrellus pipistrellus,0.502,0.652,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1645.9765,1645.9856,46953.0,63976.0,Echolocation,Pipistrellus pipistrellus,0.505,0.643,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.0705,1646.0797,46953.0,63344.0,Echolocation,Pipistrellus pipistrellus,0.539,0.637,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.1625,1646.1703,47812.0,67170.0,Echolocation,Pipistrellus pipistrellus,0.545,0.688,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.2575,1646.2653,46953.0,63729.0,Echolocation,Pipistrellus pipistrellus,0.483,0.596,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.3555,1646.3626,46953.0,67264.0,Echolocation,Pipistrellus pipistrellus,0.57,0.626,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.4505,1646.4596,46953.0,69709.0,Echolocation,Pipistrellus pipistrellus,0.533,0.69,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.5495,1646.5581,47812.0,65680.0,Echolocation,Pipistrellus pipistrellus,0.471,0.622,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.6525,1646.6607,46953.0,66790.0,Echolocation,Pipistrellus pipistrellus,0.527,0.646,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.7505,1646.7579,46953.0,68588.0,Echolocation,Pipistrellus pipistrellus,0.616,0.763,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.8445,1646.8506,46093.0,68778.0,Echolocation,Pipistrellus pipistrellus,0.556,0.643,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1646.9375,1646.9456,46093.0,71609.0,Echolocation,Pipistrellus pipistrellus,0.527,0.691,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1647.0335,1647.0401,46093.0,71848.0,Echolocation,Pipistrellus pipistrellus,0.655,0.709,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1647.1295,1647.137,45234.0,71697.0,Echolocation,Pipistrellus pipistrellus,0.49,0.573,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1647.2195,1647.2266,46093.0,68611.0,Echolocation,Pipistrellus pipistrellus,0.598,0.646,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1647.2925,1647.2997,46093.0,67897.0,Echolocation,Pipistrellus pipistrellus,0.457,0.513,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1647.3645,1647.3717,46093.0,70050.0,Echolocation,Pipistrellus pipistrellus,0.533,0.614,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1647.4385,1647.4456,45234.0,72646.0,Echolocation,Pipistrellus pipistrellus,0.509,0.595,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
1647.5315,1647.5392,46953.0,59163.0,Echolocation,Pipistrellus pipistrellus,0.587,0.61,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
